2021-03-24 14:13:04,028 INFO     [478642] (deoplete.logging) --- Deoplete Log Start ---
2021-03-24 14:13:04,029 INFO     [478642] (deoplete.logging) NVIM v0.5.0-dev+1157-g0ab88c2ea, Python 3.9.2, pynvim 0.4.3
2021-03-24 14:13:04,238 DEBUG    [478642] (deoplete.core) initialized context: {'changedtick': 3, 'event': 'Init', 'filetype': 'vim', 'filetypes': ['vim'], 'input': '', 'max_abbr_width': 190, 'max_kind_width': 190, 'max_menu_width': 190, 'next_input': '', 'position': [0, 1, 1, 0], 'same_filetypes': [], 'time': [7727, -1295361131], 'bufnr': 1, 'bufname': 'init.vim', 'bufpath': '/home/heefoo/.config/nvim/init.vim', 'camelcase': False, 'complete_str': '', 'custom': {'filter': {}, 'source': {'_': {}}, 'option': {'auto_complete_popup': 'auto', 'check_stderr': True, 'camel_case': False, 'on_text_changed_i': True, 'nofile_complete_filetypes': ['denite-filter'], 'max_list': 500, 'candidate_marks': [], 'skip_multibyte': False, 'auto_refresh_delay': 20, 'auto_complete_delay': 0, 'trigger_key': '', 'yarp': False, 'profile': True, 'omni_patterns': {}, 'auto_complete': True, 'smart_case': 1, 'ignore_case': 1, 'prev_completion_mode': '', 'sources': {'_': ['ale']}, 'refresh_always': True, 'complete_suffix': True, 'num_processes': 1, 'refresh_backspace': True, 'keyword_patterns': {'clojure': '[\\w!$%&*+/:<=>?@\\^_~\\-\\.#]*', '_': '[a-zA-Z_]\\k*'}, 'on_insert_enter': True, 'skip_chars': ['(', ')'], 'min_pattern_length': 2, 'ignore_sources': {}}}, 'cwd': '/home/heefoo/.config/nvim', 'encoding': 'utf-8', 'ignorecase': 1, 'is_windows': 0, 'smartcase': 1, 'keyword_pattern': '[a-zA-Z_][\\w@0-9_À-ÿ#]*', 'sources': ['ale'], 'rpc': 'deoplete_on_event'}
2021-03-24 14:13:04,238 DEBUG    [478642] (deoplete.core) on_event: Init
2021-03-24 14:13:04,249 DEBUG    [478642] (deoplete.child) Loaded Source: file (/home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/file.py)
2021-03-24 14:13:04,249 DEBUG    [478642] (deoplete.core) Process 0: /home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/file.py
2021-03-24 14:13:04,250 DEBUG    [478642] (deoplete.child) Loaded Source: buffer (/home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py)
2021-03-24 14:13:04,250 DEBUG    [478642] (deoplete.core) Process 0: /home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/buffer.py
2021-03-24 14:13:04,251 DEBUG    [478642] (deoplete.child) Loaded Source: around (/home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py)
2021-03-24 14:13:04,251 DEBUG    [478642] (deoplete.core) Process 0: /home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/around.py
2021-03-24 14:13:04,252 DEBUG    [478642] (deoplete.child) Loaded Source: omni (/home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py)
2021-03-24 14:13:04,252 DEBUG    [478642] (deoplete.core) Process 0: /home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/omni.py
2021-03-24 14:13:04,252 DEBUG    [478642] (deoplete.core) Process 0: /home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/__init__.py
2021-03-24 14:13:04,254 DEBUG    [478642] (deoplete.child) Loaded Source: member (/home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py)
2021-03-24 14:13:04,254 DEBUG    [478642] (deoplete.core) Process 0: /home/heefoo/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/source/member.py
